hotel_name,url,rate,description,latitude,longitude
LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine,https://www.booking.com/hotel/fr/mas-des-oliviers-uzes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,8.9," L'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine est situé à Uzès, à 38 km de la gare centrale d'Avignon, à 40 km du palais des papes et de la gare TGV d'Avignon. Cet hébergement climatisé se trouve à 31 km du parc des expositions de Nîmes. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
  L'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine est situé à Uzès, à 38 km de la gare centrale d'Avignon, à 40 km du palais des papes et de la gare TGV d'Avignon. Cet hébergement climatisé se trouve à 31 km du parc des expositions de Nîmes. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
",44.012765,4.414323
Hotel Chagnot,https://www.booking.com/hotel/fr/hotel-balladins-superior-lille-centre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCksStowbAAgHSAiQ3M2QxYjVjYy1jZmU5LTQ1NjgtYTdmMS0wZWY1YWFlOTE1MDXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ce6c58c9e31900e7&srepoch=1684759059&from=searchresults,7.8," L'Hotel Chagnot est situé dans le centre-ville de Lille, juste en face de la gare de Lille-Flandres et à 10 minutes à pied de la gare de Lille-Europe. L’établissement propose des hébergements modernes et une connexion Wi-Fi gratuite. Les centres de conventions Nouveau Siècle et Lille Grand Palais se trouvent à 1 km.
  L'Hotel Chagnot est situé dans le centre-ville de Lille, juste en face de la gare de Lille-Flandres et à 10 minutes à pied de la gare de Lille-Europe. L’établissement propose des hébergements modernes et une connexion Wi-Fi gratuite. Les centres de conventions Nouveau Siècle et Lille Grand Palais se trouvent à 1 km.
",50.63624596,3.06924239
La petite hostellerie,https://www.booking.com/hotel/fr/la-petite-hostellerie-uzes1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,8.9," Situé à Uzès, à moins de 38 km de la gare centrale d'Avignon et à 39 km du palais des papes, l'établissement La petite hostellerie propose des hébergements avec connexion Wi-Fi gratuite dans l'ensemble de ses locaux. L'établissement se trouve à environ 40 km de la gare TGV d'Avignon, à 48 km du parc des expositions d'Avignon et à 13 km du pont du Gard. Cet établissement non-fumeurs se trouve à 31 km du parc des expositions de Nîmes.
  Situé à Uzès, à moins de 38 km de la gare centrale d'Avignon et à 39 km du palais des papes, l'établissement La petite hostellerie propose des hébergements avec connexion Wi-Fi gratuite dans l'ensemble de ses locaux. L'établissement se trouve à environ 40 km de la gare TGV d'Avignon, à 48 km du parc des expositions d'Avignon et à 13 km du pont du Gard. Cet établissement non-fumeurs se trouve à 31 km du parc des expositions de Nîmes.
",44.0108258,4.4177601
Boutique Hôtel Entraigues,https://www.booking.com/hotel/fr/entraigues-uzes2.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,8.8," Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement, et vous pourrez profiter d’un parking privé sur place moyennant des frais supplémentaires et sous réserve de disponibilité.
  Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement, et vous pourrez profiter d’un parking privé sur place moyennant des frais supplémentaires et sous réserve de disponibilité.
",44.01246437,4.42180011
DOMITYS REGALECIA,https://www.booking.com/hotel/fr/domitys-regalecia.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.1," Situé à Uzès, à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, le DOMITYS REGALECIA propose des hébergements avec une connexion Wi-Fi gratuite, un jardin avec une terrasse, une salle de sport et un sauna.
  Situé à Uzès, à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, le DOMITYS REGALECIA propose des hébergements avec une connexion Wi-Fi gratuite, un jardin avec une terrasse, une salle de sport et un sauna.
",44.00972373,4.41112954
Bon Jour Uzès,https://www.booking.com/hotel/fr/bon-jour-uzes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.6," Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le Bon Jour Uzès est un hébergement situé à Uzès. Cet appartement se trouve à 32 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon.
  Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le Bon Jour Uzès est un hébergement situé à Uzès. Cet appartement se trouve à 32 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon.
",44.0121968,4.41912483
Kira,https://www.booking.com/hotel/fr/kira-uzes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,7.8," Situé à Uzès, à moins de 32 km du parc des expositions de Nîmes, le Kira propose une terrasse, des chambres non-fumeurs et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. L'établissement se trouve à environ 39 km de la gare centrale d'Avignon, à 40 km du palais des papes et à 41 km de la gare TGV d'Avignon. Vous séjournerez à 39 km du pont d'Avignon.
  Situé à Uzès, à moins de 32 km du parc des expositions de Nîmes, le Kira propose une terrasse, des chambres non-fumeurs et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. L'établissement se trouve à environ 39 km de la gare centrale d'Avignon, à 40 km du palais des papes et à 41 km de la gare TGV d'Avignon. Vous séjournerez à 39 km du pont d'Avignon.
",44.01168919,4.42128514
Le Mas Blanc Uzès,https://www.booking.com/hotel/fr/le-mas-blanc-uzes-gite-des-artistes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.5," Situé à Uzès, l'établissement Le Mas Blanc Uzès propose des hébergements avec une terrasse ou un balcon, une connexion Wi-Fi gratuite, une télévision à écran plat, un service de prêt de vélos et un jardin.
  Situé à Uzès, l'établissement Le Mas Blanc Uzès propose des hébergements avec une terrasse ou un balcon, une connexion Wi-Fi gratuite, une télévision à écran plat, un service de prêt de vélos et un jardin.
",44.04406717,4.40603612
Maison De La Bourgade,https://www.booking.com/hotel/fr/maison-de-la-bourgade.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,9.7," Dotée d'une piscine extérieure ouverte en saison, d'un jardin et d'une terrasse, la Maison De La Bourgade propose un hébergement à Uzès avec une connexion Wi-Fi gratuite et une vue sur la ville. Doté d'une piscine privée, ce Bed & Breakfast se trouve dans une région où vous pourrez pratiquer des activités telles que le vélo et le ping-pong.
  Dotée d'une piscine extérieure ouverte en saison, d'un jardin et d'une terrasse, la Maison De La Bourgade propose un hébergement à Uzès avec une connexion Wi-Fi gratuite et une vue sur la ville. Doté d'une piscine privée, ce Bed & Breakfast se trouve dans une région où vous pourrez pratiquer des activités telles que le vélo et le ping-pong.
",44.009668,4.418032
"Uzès, au cœur du centre médiéval La Boussole d'Uzès, appartement de caractère du XVII -ème siècle",https://www.booking.com/hotel/fr/uzes-au-coeur-du-centre-medieval-la-boussole-d-uzes-appartement-de-caractere.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.7," Uzès, au cœur du centre médiéval La Boussole d'Uzès, appartement de caractère du XVII Le -ème siècle est situé à Uzès, à 31 km du parc des expositions de Nîmes, à 38 km de la gare centrale d'Avignon et à 40 km du palais des Papes. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
  Uzès, au cœur du centre médiéval La Boussole d'Uzès, appartement de caractère du XVII Le -ème siècle est situé à Uzès, à 31 km du parc des expositions de Nîmes, à 38 km de la gare centrale d'Avignon et à 40 km du palais des Papes. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
",44.0124278,4.4192465
